"","Proposed.Management.Action","District","Scale","Costing.Certainty","Average_Funding_Shortfall","Average_Filtered_Costings_Data","Count"
"222","F","Girvan","1","Estimate",1e+05,1e+05,1
"223","F","Girvan","1","Little Confidence",5e+05,5e+05,1
"224","F","Girvan","1","Very Confident",12560,50150,5
"225","F","Girvan","3","Fairly Confident",150000,150000,1
"226","F","Girvan","3","Very Confident",3000,5500,2
"227","F","Irvine and Garnock","1","",NA,39000,1
"228","F","Irvine and Garnock","1","Fairly Confident",50800,101600,1
"229","F","Irvine and Garnock","3","Little Confidence",140000,140000,1
"230","F","Irvine and Garnock","4","Estimate",80000,80000,1
"231","F","Kyle of Sutherland","3","Estimate",190000,320000,1
"232","F","Kyle of Sutherland","3","Fairly Confident",25000,220000,1
"233","F","Laggan and Sorn","3","",NA,10000,1
"234","F","Loch Lomond","1","N/A",NA,NA,2
"235","F","Loch Lomond","3","Estimate",20000,22000,1
"236","F","Loch Lomond","3","Fairly Confident",2000,22000,1
"237","F","Loch Lomond","3","Very Confident",20000,22000,1
"238","F","Luce","1","Fairly Confident",20000,20000,1
"239","F","Luce","1","Very Confident",0,32000,1
"240","F","Luce","3","Fairly Confident",0,2800,1
"241","F","Ness","1","N/A",NA,NA,1
"242","F","Ness","3","Estimate",69000,69000,5
"243","F","Ness","3","N/A",NA,20000,1
"244","F","Ness","4","Estimate",69000,69000,3
"245","F","Ness","4","N/A",NA,NA,1
"246","F","Ness","4","Very Confident",0,50000,1
"247","F","Nith","3","Estimate",1e+06,1025000,3
"248","F","Nith","4","Very Confident",75000,150000,1
"249","F","Nith","5","Fairly Confident",5e+05,810000,1
"250","F","Nith","5","Very Confident",0,25000,1
"251","F","Spey","1","Fairly Confident",500,174333.333333333,3
"252","F","Spey","1","Very Confident",0,1100,1
"253","F","Spey","3","Estimate",62750,125500,2
"254","F","Spey","3","Fairly Confident",1000,2500,1
"255","F","Spey","3","N/A",0,NA,1
"256","F","Stinchar","1","Fairly Confident",20000,20000,1
"257","F","Stinchar","3","Fairly Confident",24500,39500,4
"258","F","Stinchar","3","Very Confident",5000,5000,1
"259","F","Tweed","5","N/A",NA,5e+05,1
"260","F","Ugie","1","Very Confident",7200,8200,1
"261","F","Ugie","3","Estimate",7500,15000,1
"262","F","Ugie","3","Very Confident",9600,11600,2
"263","F","Urr","1","Fairly Confident",0,3000,1
"264","F","Urr","3","Fairly Confident",5000,5000,1
"265","F","Wester Ross","3","Estimate",250,1000,4
"266","F","Wester Ross","4","Estimate",6750,12000,4
"267","F","Ythan","5","",NA,6000,1
"268","G","Annan","3","Fairly Confident",10000,13025,2
"269","G","Argyll","3","Estimate",608333.333333333,608333.333333333,12
"270","G","Ayr","1","Fairly Confident",32000,32000,1
"271","G","Ayr","3","Estimate",250000,250000,1
"272","G","Ayr","3","Little Confidence",199400,199400,2
"273","G","Ayr","4","Very Confident",85894.6842105263,85894.6842105263,19
"274","G","Ayr","5","Estimate",72000,144000,1
"275","G","Bladnoch","3","Fairly Confident",15000,20000,1
"276","G","Brora","1","Fairly Confident",25000,25666.6666666667,3
"277","G","Brora","1","Little Confidence",25000,25250,2
"278","G","Brora","3","Fairly Confident",90000,90500,1
"279","G","Clyde","1","Estimate",1e+05,205000,1
"280","G","Cree","3","N/A",NA,NA,3
"281","G","Cromarty","5","Very Confident",0,27100,2
"282","G","Dee","5","Estimate",50000,102000,1
"283","G","Dee (Kircudbright)","3","Fairly Confident",20000,30000,1
"284","G","Deveron","3","Very Confident",60000,60000,1
"285","G","Deveron","4","Estimate",5e+05,5e+05,1
"286","G","Deveron","4","N/A",0,600,1
"287","G","Don","5","Estimate",50000,50400,1
"288","G","Doon","1","Little Confidence",1e+05,1e+05,1
"289","G","Doon","3","Fairly Confident",40000,40000,1
"290","G","Doon","5","Estimate",52000,104000,1
"291","G","Eachaig","5","",NA,NA,1
"292","G","Esk","4","Estimate",NA,366666.666666667,3
"293","G","Findhorn","5","N/A",1000,5000,1
"294","G","Fleet (Kircudbright)","3","Fairly Confident",25000,30000,1
"295","G","Girvan","1","Very Confident",11900,11900,4
"296","G","Girvan","3","Very Confident",89066.6666666667,89066.6666666667,3
"297","G","Helmsdale","5","",NA,3000,1
"298","G","Irvine and Garnock","1","Estimate",32750,43000,2
"299","G","Irvine and Garnock","3","Estimate",121333.333333333,142666.666666667,3
"300","G","Irvine and Garnock","3","Fairly Confident",129228,258456,1
"301","G","Irvine and Garnock","3","Little Confidence",2e+05,2e+05,1
"302","G","Irvine and Garnock","4","Estimate",4e+05,4e+05,1
"303","G","Kyle of Sutherland","5","Estimate",5250000,5250000,1
"304","G","Lossie","5","N/A",300,1800,1
"305","G","Luce","1","Fairly Confident",5000,6000,1
"306","G","Nairn","5","N/A",NA,NA,1
"307","G","Spey","1","Estimate",30000,33000,1
"308","G","Stinchar","1","Fairly Confident",30750,43350,4
"309","G","Stinchar","1","Very Confident",5000,5000,1
"310","G","Stinchar","3","Fairly Confident",40700,40700,2
"311","G","Tay","1","Estimate",20000,57250,2
"312","G","Tay","3","Estimate",175000,180750,2
"313","G","Urr","3","Fairly Confident",9000,12000,1
"314","G","West Sutherland","4","",0,NA,6
"315","G","West Sutherland","5","",0,NA,1
"316","G","Wester Ross","1","N/A",10500,21000,3
"317","G","Wester Ross","3","Estimate",7000,21000,3
"318","G","Wester Ross","4","Estimate",20750,41500,4
"319","H","Annan","4","Fairly Confident",0,1050,1
"320","H","Ayr","3","Estimate",505000,1010000,1
"321","H","Ayr","4","Very Confident",20000,20000,1
"322","H","Beauly","4","",NA,800,1
"323","H","Bladnoch","4","Fairly Confident",0,1050,1
"324","H","Cree","4","Estimate",NA,1050,1
"325","H","Dee","2","Very Confident",0,4000,1
"326","H","Dee","5","Estimate",50000,115466,1
"327","H","Dee","5","Very Confident",0,4000,1
"328","H","Dee (Kircudbright)","4","Fairly Confident",0,1050,1
"329","H","Deveron","4","Estimate",150300,150300,2
"330","H","Don","2","Very Confident",0,800,1
"331","H","Don","5","Estimate",50000,52645,1
"332","H","Don","5","Very Confident",0,2000,1
"333","H","Doon","4","Fairly Confident",20000,20000,1
"334","H","Eachaig","1","",NA,NA,1
"335","H","Fleet (Kircudbright)","4","Very Confident",0,1050,1
"336","H","Forth",NA,"N/A",0,NA,1
"337","H","Girvan","4","Very Confident",30000,30000,1
"338","H","Girvan","5","Estimate",2e+05,2e+05,1
"339","H","Irvine and Garnock","3","Estimate",101000,202000,1
"340","H","Irvine and Garnock","4","Little Confidence",70500,141000,1
"341","H","Irvine and Garnock",NA,"",NA,20000,1
"342","H","Laggan and Sorn","1","",NA,5000,1
"343","H","Lochaber","5","N/A",0,NA,1
"344","H","Luce","4","Fairly Confident",0,1050,1
"345","H","Ness","1","N/A",NA,NA,1
"346","H","Ness","3","Estimate",2000,2000,4
"347","H","Ness","4","Estimate",2000,2000,4
"348","H","Spey","3","Fairly Confident",3000,6000,1
"349","H","Spey","4","Fairly Confident",20000,290000,1
"350","H","Spey","4","N/A",0,NA,1
"351","H","Stinchar","5","Very Confident",20000,50000,1
"352","H","Tay","4","Estimate",1e+06,1010000,1
"353","H","Ugie","4","Very Confident",0,2500,1
"354","H","Urr","4","Fairly Confident",0,1050,1
"355","H","West Sutherland","5","Estimate",8000,8000,1
"356","I","Annan","4","Fairly Confident",0,2000,1
"357","I","Beauly","2","",NA,NA,1
"358","I","Bladnoch","4","Very Confident",0,1000,1
"359","I","Brora","2","N/A",0,NA,1
"360","I","Brora","4","Very Confident",0,NA,1
"361","I","Dee (Kircudbright)","4","Fairly Confident",0,2000,1
"362","I","Esk","5","Little Confidence",NA,6500,1
"363","I","Fleet (Kircudbright)","4","Very Confident",0,1000,1
"364","I","Forth","1","N/A",0,NA,1
"365","I","Forth","2","N/A",0,NA,1
"366","I","Forth","5","Estimate",10050000,20065000,1
"367","I","Forth","5","N/A",0,NA,1
"368","I","Kyle of Sutherland","1","",0,NA,1
"369","I","Kyle of Sutherland","3","",0,NA,1
"370","I","Luce","4","Fairly Confident",0,1000,1
"371","I","Ness","1","Estimate",5000,5000,1
"372","I","Northern","5","Estimate",1000,5000,1
"373","I","Spey","2","Fairly Confident",2500,2500,1
"374","I","Tweed","1","N/A",NA,NA,1
"375","I","Tweed","5","N/A",NA,130000,1
"376","I","Urr","4","Fairly Confident",0,700,1
"377","I","Western Isles","5","N/A",0,NA,2
"378","J","Argyll","3","Fairly Confident",0,NA,1
"379","J","Beauly","3","",NA,600,1
"380","J","Beauly","4","",NA,1400,1
"381","J","Bladnoch","3","Very Confident",0,2000,1
"382","J","Cree","3","N/A",NA,NA,3
"383","J","Cromarty","1","Very Confident",0,2100,1
"384","J","Cromarty","5","Very Confident",0,6000,2
"385","J","Dee","2","Very Confident",0,950,1
"386","J","Dee","3","Little Confidence",35000,84650,1
"387","J","Dee","3","Very Confident",4500,28292,1
"388","J","Deveron","3","Very Confident",3320,5517.5,2
"389","J","Deveron","4","Very Confident",0,89621.97,1
"390","J","Don","3","Little Confidence",35000,37125,1
"391","J","Don","3","Very Confident",4500,14146,1
"392","J","Esk","1","Very Confident",0,5000,1
"393","J","Esk","2","Fairly Confident",0,6000,1
"394","J","Findhorn","4","Little Confidence",0,2000,1
"395","J","Findhorn","4","Very Confident",0,4000,1
"396","J","Forth","5","Estimate",40000,80000,1
"397","J","Kyle of Sutherland","5","Fairly Confident",15500,26000,1
"398","J","Kyle of Sutherland","5","Very Confident",0,7500,1
"399","J","Loch Lomond","4","Estimate",6666.66666666667,13750,4
"400","J","Loch Lomond","4","Fairly Confident",7500,15000,1
"401","J","Lochaber","4","N/A",0,NA,1
"402","J","Lossie","2","",NA,NA,1
"403","J","Lossie","5","Estimate",250,350,1
"404","J","Nairn","2","",NA,NA,1
"405","J","Nairn","5","Fairly Confident",500,1000,1
"406","J","Ness","5","Estimate",10000,10000,1
"407","J","Ness","5","Very Confident",0,8250,2
"408","J","Nith","1","Very Confident",0,10000,1
"409","J","Nith","3","Very Confident",0,60000,1
"410","J","Northern","5","Very Confident",0,1000,1
"411","J","Skye","3","Little Confidence",0,600,1
"412","J","Spey","5","Very Confident",1750,3250,2
"413","J","Stinchar","5","Fairly Confident",2000,3000,1
"414","J","Tay","1","Very Confident",0,30000,1
"415","J","Tay","3","Fairly Confident",0,4000,1
"416","J","Tweed","5","Very Confident",0,16000,1
"417","J","Ugie","3","Estimate",0,3000,1
"418","J","Ythan","5","",NA,10000,1
"419","K","Ayr","3","N/A",5000,10000,1
"420","K","Brora","2","N/A",0,NA,1
"421","K","Brora","3","N/A",0,NA,1
"422","K","Cromarty","1","N/A",0,NA,1
"423","K","Doon","3","Little Confidence",2500,2500,1
"424","K","Eachaig","2","",NA,NA,1
"425","K","Findhorn","1","N/A",NA,NA,1
"426","K","Forth","4","Very Confident",150000,160000,1
"427","K","Girvan","3","Very Confident",0,NA,1
"428","K","Irvine and Garnock","1","Fairly Confident",16500,33000,1
"429","K","Laggan and Sorn","3","",NA,5000,1
"430","K","Lossie","1","Fairly Confident",NA,NA,1
"431","K","Lossie","1","N/A",NA,NA,1
"432","K","Nairn","1","N/A",NA,NA,1
"433","K","Ness","2","Estimate",10000,10000,1
"434","K","Ness","3","Very Confident",0,1000,1
"435","K","Spey","5","Estimate",1500,1500,1
"436","K","Spey","5","Fairly Confident",45000,97500,1
"437","K","Stinchar","3","Fairly Confident",3000,3000,1
"438","K","Wester Ross","2","Estimate",2500,2500,1
"439","L","Annan","3","Fairly Confident",0,2000,1
"440","L","Annan","4","Fairly Confident",0,2100,1
"441","L","Annan","5","Fairly Confident",0,3500,2
"442","L","Ayr","4","Little Confidence",36500,64000,2
"443","L","Ayr","5","Very Confident",2000,10500,1
"444","L","Beauly","1","",NA,30100,2
"445","L","Beauly","3","",NA,700,2
"446","L","Beauly","4","",NA,6750,6
"447","L","Beauly","5","",NA,5600,1
"448","L","Bladnoch","3","Very Confident",3000,5100,2
"449","L","Bladnoch","4","Fairly Confident",0,1400,2
"450","L","Bladnoch","5","Estimate",0,3150,1
"451","L","Brora","4","Very Confident",0,10000,1
"452","L","Caithness","3","Fairly Confident",0,2000,2
"453","L","Caithness","4","Fairly Confident",0,3000,1
"454","L","Caithness","5","Fairly Confident",0,4000,1
"455","L","Caithness","5","Very Confident",0,21000,1
"456","L","Clyde","4","Estimate",40000,82500,4
"457","L","Clyde","4","Fairly Confident",60000,140000,1
"458","L","Cree","3","N/A",NA,NA,1
"459","L","Cree","5","N/A",NA,NA,1
"460","L","Cromarty","3","Very Confident",0,5000,3
"461","L","Dee","3","Very Confident",0,1310,1
"462","L","Dee (Kircudbright)","1","Fairly Confident",0,6000,1
"463","L","Dee (Kircudbright)","3","Fairly Confident",3000,3000,1
"464","L","Dee (Kircudbright)","4","Fairly Confident",0,1400,1
"465","L","Dee (Kircudbright)","5","Fairly Confident",0,3150,1
"466","L","Deveron","1","Fairly Confident",7000,41849,1
"467","L","Deveron","3","Estimate",5050,5050,1
"468","L","Deveron","3","Fairly Confident",18000,21428,5
"469","L","Deveron","3","N/A",600,600,1
"470","L","Deveron","4","Estimate",2000,2000,1
"471","L","Deveron","4","N/A",0,1800,1
"472","L","Deveron","5","N/A",0,NA,1
"473","L","Don","3","Very Confident",0,1062.5,1
"474","L","Doon","1","Little Confidence",5000,5000,1
"475","L","Doon","1","Very Confident",6000,6000,1
"476","L","Doon","4","Fairly Confident",12000,12000,1
"477","L","Doon","4","Very Confident",6333.33333333333,13500,3
"478","L","Doon","5","Very Confident",0,3000,1
"479","L","Esk","5","Fairly Confident",0,10800,2
"480","L","Findhorn","1","N/A",NA,NA,1
"481","L","Findhorn","3","Estimate",15000,33000,1
"482","L","Findhorn","3","Fairly Confident",0,16000,2
"483","L","Findhorn","3","N/A",NA,NA,1
"484","L","Findhorn","5","Little Confidence",NA,NA,1
"485","L","Fleet (Kircudbright)","3","Fairly Confident",1200,1800,1
"486","L","Fleet (Kircudbright)","3","Very Confident",3000,3000,1
"487","L","Fleet (Kircudbright)","5","Very Confident",0,3150,1
"488","L","Forth","1","",138333.333333333,245666.666666667,3
"489","L","Forth","1","Estimate",20000,32500,2
"490","L","Forth","2","",0,NA,1
"491","L","Forth","2","Estimate",907500,1775000,2
"492","L","Forth","3","",15000,15000,8
"493","L","Forth","4","",55000,1e+05,1
"494","L","Forth","5","",25000,51875,9
"495","L","Forth","5","Estimate",25000,52500,2
"496","L","Forth","5","N/A",0,NA,3
"497","L","Forth","5","Very Confident",85000,155000,1
"498","L","Girvan","5","Fairly Confident",4500,4500,1
"499","L","Helmsdale","1","",NA,2500,1
"500","L","Kyle of Sutherland","1","Very Confident",0,12000,3
"501","L","Kyle of Sutherland","4","Fairly Confident",10000,10000,1
"502","L","Kyle of Sutherland","5","Estimate",325000,660000,1
"503","L","Lochaber","1","Fairly Confident",0,NA,1
"504","L","Lochaber","1","N/A",0,NA,2
"505","L","Lochaber","2","N/A",0,NA,1
"506","L","Lochaber","4","Estimate",10000,10000,1
"507","L","Lochaber","4","Fairly Confident",0,NA,2
"508","L","Lochaber","4","N/A",0,NA,4
"509","L","Lochaber","4","Very Confident",0,NA,1
"510","L","Lossie","3","Estimate",4783.33333333333,4900,3
"511","L","Luce","3","Fairly Confident",0,2250,1
"512","L","Luce","3","Very Confident",0,3000,1
"513","L","Luce","4","Fairly Confident",0,1400,1
"514","L","Luce","4","N/A",0,NA,1
"515","L","Luce","5","Fairly Confident",0,3150,1
"516","L","Nairn","1","Little Confidence",NA,NA,1
"517","L","Nairn","3","",NA,NA,3
"518","L","Nairn","3","Little Confidence",4500,4500,1
"519","L","Nairn","5","",NA,NA,1
"520","L","Ness","3","Fairly Confident",0,50000,1
"521","L","Ness","5","Very Confident",0,6500,1
"522","L","Nith","4","Estimate",1500000,1590000,1
"523","L","Nith","5","Estimate",1e+05,2e+05,1
"524","L","Nith","5","Very Confident",7500,162500,2
"525","L","Northern","1","Very Confident",550,20550,1
"526","L","Northern","4","N/A",NA,NA,1
"527","L","Northern","4","Very Confident",3000,11625,2
