,Proposed.Management.Action,District,Scale,Costing.Certainty,Average_Funding_Shortfall,Average_Filtered_Costings_Data,Count
164,Enforcement,Esk,Whole District,Very Confident,0,41000,1
165,Enforcement,Findhorn,Whole District,Fairly Confident,0,73000,1
166,Enforcement,Forth,Targeted Location,Estimate,370000,720000,1
167,Enforcement,Forth,Whole District,Estimate,1027500,2050000,2
168,Enforcement,Forth,Whole District,Little Confidence,150000,3.00E+05,1
169,Enforcement,Girvan,Whole District,Very Confident,0,NA,1
170,Enforcement,Helmsdale,Whole District,,NA,NA,1
171,Enforcement,Kyle of Sutherland,Whole District,Very Confident,0,180000,1
172,Enforcement,Lochaber,Whole District,Fairly Confident,0,NA,1
173,Enforcement,Lossie,Whole District,Little Confidence,2500,2500,1
174,Enforcement,Nairn,Whole District,Fairly Confident,8000,33000,1
175,Enforcement,Ness,River,Very Confident,0,60000,1
176,Enforcement,Ness,Catchment,Very Confident,0,60000,1
177,Enforcement,Ness,Whole District,Very Confident,0,32175,2
178,Enforcement,Nith,Whole District,Very Confident,30000,170000,1
179,Enforcement,Northern,Whole District,Very Confident,0,26000,1
180,Enforcement,Spey,Coastal,Very Confident,9000,9000,1
181,Enforcement,Spey,Whole District,Very Confident,161000,161000,1
182,Enforcement,Stinchar,Whole District,Fairly Confident,1000,1000,1
183,Enforcement,Tay,Whole District,Fairly Confident,0,4.00E+05,1
184,Enforcement,Tweed,Whole District,Very Confident,0,207000,1
185,Enforcement,Western Isles,Whole District,Very Confident,0,NA,1
186,Improving Instream Habitat,Annan,Targeted Location,Fairly Confident,0,2100,1
187,Improving Instream Habitat,Annan,River,Fairly Confident,2100,2100,1
188,Improving Instream Habitat,Argyll,Coastal,Little Confidence,1.00E+06,1.00E+06,2
189,Improving Instream Habitat,Argyll,Whole District,Fairly Confident,0,NA,5
190,Improving Instream Habitat,Ayr,Targeted Location,Estimate,1750000,1750000,1
191,Improving Instream Habitat,Ayr,River,Fairly Confident,42906,42906,2
192,Improving Instream Habitat,Ayr,Catchment,Very Confident,169300,169300,3
193,Improving Instream Habitat,Beauly,Catchment,,NA,700,1
194,Improving Instream Habitat,Bladnoch,Targeted Location,Estimate,30000,43333.33333,3
195,Improving Instream Habitat,Bladnoch,Targeted Location,Very Confident,0,2000,1
196,Improving Instream Habitat,Bladnoch,River,Estimate,0,2000,1
197,Improving Instream Habitat,Brora,Targeted Location,,NA,NA,1
198,Improving Instream Habitat,Brora,Targeted Location,Little Confidence,10000,15250,3
199,Improving Instream Habitat,Caithness,Catchment,Fairly Confident,0,3000,1
200,Improving Instream Habitat,Clyde,Targeted Location,Estimate,1.00E+05,205000,1
201,Improving Instream Habitat,Cree,River,N/A,NA,NA,1
202,Improving Instream Habitat,Cromarty,Targeted Location,Estimate,2000,2250,1
203,Improving Instream Habitat,Cromarty,Targeted Location,Fairly Confident,0,101250,2
204,Improving Instream Habitat,Cromarty,Targeted Location,Very Confident,0,20950,2
205,Improving Instream Habitat,Cromarty,River,N/A,0,NA,1
206,Improving Instream Habitat,Dee,Targeted Location,Very Confident,0,297408,1
207,Improving Instream Habitat,Dee,Catchment,Estimate,5.00E+06,5.00E+06,1
208,Improving Instream Habitat,Dee (Kircudbright),River,Fairly Confident,0,40000,1
209,Improving Instream Habitat,Dee (Kircudbright),River,Very Confident,0,180000,1
210,Improving Instream Habitat,Deveron,Targeted Location,Little Confidence,36250,45900,4
211,Improving Instream Habitat,Don,Catchment,Estimate,5.00E+06,5004250,1
212,Improving Instream Habitat,Doon,Targeted Location,Fairly Confident,27500,58000,1
213,Improving Instream Habitat,Doon,Targeted Location,N/A,20000,20000,1
214,Improving Instream Habitat,Doon,Targeted Location,Very Confident,0,29500,1
215,Improving Instream Habitat,Doon,River,Estimate,5.00E+05,5.00E+05,1
216,Improving Instream Habitat,Doon,Whole District,Estimate,84000,168000,1
217,Improving Instream Habitat,Esk,Catchment,Estimate,NA,56000,3
218,Improving Instream Habitat,Esk,Catchment,N/A,NA,NA,3
219,Improving Instream Habitat,Fleet (Kircudbright),Targeted Location,Fairly Confident,25000,30000,1
220,Improving Instream Habitat,Fleet (Kircudbright),River,Fairly Confident,5000,5000,1
221,Improving Instream Habitat,Forth,Targeted Location,N/A,0,NA,1
222,Improving Instream Habitat,Girvan,Targeted Location,Estimate,1.00E+05,1.00E+05,1
223,Improving Instream Habitat,Girvan,Targeted Location,Little Confidence,5.00E+05,5.00E+05,1
224,Improving Instream Habitat,Girvan,Targeted Location,Very Confident,12560,50150,5
225,Improving Instream Habitat,Girvan,River,Fairly Confident,150000,150000,1
226,Improving Instream Habitat,Girvan,River,Very Confident,3000,5500,2
227,Improving Instream Habitat,Irvine and Garnock,Targeted Location,,NA,39000,1
228,Improving Instream Habitat,Irvine and Garnock,Targeted Location,Fairly Confident,50800,101600,1
229,Improving Instream Habitat,Irvine and Garnock,River,Little Confidence,140000,140000,1
230,Improving Instream Habitat,Irvine and Garnock,Catchment,Estimate,80000,80000,1
231,Improving Instream Habitat,Kyle of Sutherland,River,Estimate,190000,320000,1
232,Improving Instream Habitat,Kyle of Sutherland,River,Fairly Confident,25000,220000,1
233,Improving Instream Habitat,Laggan and Sorn,River,,NA,10000,1
234,Improving Instream Habitat,Loch Lomond,Targeted Location,N/A,NA,NA,2
235,Improving Instream Habitat,Loch Lomond,River,Estimate,20000,22000,1
236,Improving Instream Habitat,Loch Lomond,River,Fairly Confident,2000,22000,1
237,Improving Instream Habitat,Loch Lomond,River,Very Confident,20000,22000,1
238,Improving Instream Habitat,Luce,Targeted Location,Fairly Confident,20000,20000,1
239,Improving Instream Habitat,Luce,Targeted Location,Very Confident,0,32000,1
240,Improving Instream Habitat,Luce,River,Fairly Confident,0,2800,1
241,Improving Instream Habitat,Ness,Targeted Location,N/A,NA,NA,1
242,Improving Instream Habitat,Ness,River,Estimate,69000,69000,5
243,Improving Instream Habitat,Ness,River,N/A,NA,20000,1
244,Improving Instream Habitat,Ness,Catchment,Estimate,69000,69000,3
245,Improving Instream Habitat,Ness,Catchment,N/A,NA,NA,1
246,Improving Instream Habitat,Ness,Catchment,Very Confident,0,50000,1
247,Improving Instream Habitat,Nith,River,Estimate,1.00E+06,1025000,3
248,Improving Instream Habitat,Nith,Catchment,Very Confident,75000,150000,1
249,Improving Instream Habitat,Nith,Whole District,Fairly Confident,5.00E+05,810000,1
250,Improving Instream Habitat,Nith,Whole District,Very Confident,0,25000,1
251,Improving Instream Habitat,Spey,Targeted Location,Fairly Confident,500,174333.3333,3
252,Improving Instream Habitat,Spey,Targeted Location,Very Confident,0,1100,1
253,Improving Instream Habitat,Spey,River,Estimate,62750,125500,2
254,Improving Instream Habitat,Spey,River,Fairly Confident,1000,2500,1
255,Improving Instream Habitat,Spey,River,N/A,0,NA,1
256,Improving Instream Habitat,Stinchar,Targeted Location,Fairly Confident,20000,20000,1
257,Improving Instream Habitat,Stinchar,River,Fairly Confident,24500,39500,4
258,Improving Instream Habitat,Stinchar,River,Very Confident,5000,5000,1
259,Improving Instream Habitat,Tweed,Whole District,N/A,NA,5.00E+05,1
260,Improving Instream Habitat,Ugie,Targeted Location,Very Confident,7200,8200,1
261,Improving Instream Habitat,Ugie,River,Estimate,7500,15000,1
262,Improving Instream Habitat,Ugie,River,Very Confident,9600,11600,2
263,Improving Instream Habitat,Urr,Targeted Location,Fairly Confident,0,3000,1
264,Improving Instream Habitat,Urr,River,Fairly Confident,5000,5000,1
265,Improving Instream Habitat,Wester Ross,River,Estimate,250,1000,4
266,Improving Instream Habitat,Wester Ross,Catchment,Estimate,6750,12000,4
267,Improving Instream Habitat,Ythan,Whole District,,NA,6000,1
268,Improving Riparian Habitat,Annan,River,Fairly Confident,10000,13025,2
269,Improving Riparian Habitat,Argyll,River,Estimate,608333.3333,608333.3333,12
270,Improving Riparian Habitat,Ayr,Targeted Location,Fairly Confident,32000,32000,1
271,Improving Riparian Habitat,Ayr,River,Estimate,250000,250000,1
272,Improving Riparian Habitat,Ayr,River,Little Confidence,199400,199400,2
273,Improving Riparian Habitat,Ayr,Catchment,Very Confident,85894.68421,85894.68421,19
274,Improving Riparian Habitat,Ayr,Whole District,Estimate,72000,144000,1
275,Improving Riparian Habitat,Bladnoch,River,Fairly Confident,15000,20000,1
276,Improving Riparian Habitat,Brora,Targeted Location,Fairly Confident,25000,25666.66667,3
277,Improving Riparian Habitat,Brora,Targeted Location,Little Confidence,25000,25250,2
278,Improving Riparian Habitat,Brora,River,Fairly Confident,90000,90500,1
279,Improving Riparian Habitat,Clyde,Targeted Location,Estimate,1.00E+05,205000,1
280,Improving Riparian Habitat,Cree,River,N/A,NA,NA,3
281,Improving Riparian Habitat,Cromarty,Whole District,Very Confident,0,27100,2
282,Improving Riparian Habitat,Dee,Whole District,Estimate,50000,102000,1
283,Improving Riparian Habitat,Dee (Kircudbright),River,Fairly Confident,20000,30000,1
284,Improving Riparian Habitat,Deveron,River,Very Confident,60000,60000,1
285,Improving Riparian Habitat,Deveron,Catchment,Estimate,5.00E+05,5.00E+05,1
286,Improving Riparian Habitat,Deveron,Catchment,N/A,0,600,1
287,Improving Riparian Habitat,Don,Whole District,Estimate,50000,50400,1
